"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"31529","J.Brown","Justin","Brown",2017,NA,NA,NA,NA,NA,1,"DE","TEN","home","SEA",28.6680412371134
"31557","J.Bullard","Jonathan","Bullard",2018,1,NA,NA,NA,NA,NA,"DE","MIN","away","CHI",36.6177083333333
"31578","J.Burgess","James","Burgess",2017,1,NA,NA,NA,1,5,"LB","NYJ","away","CLE",30.7953051643192
"31588","J.Burris","Juston","Burris",2017,NA,NA,NA,NA,NA,2,"DB","LAC","away","NYJ",30.4079710144928
"31602","J.Burris","Juston","Burris",2017,NA,NA,NA,NA,NA,4,"DB","OAK","home","NYJ",28.5706140350877
"31620","J.Bynes","Josh","Bynes",2017,NA,NA,NA,NA,NA,1,"LB","DAL","away","ARI",35.268115942029
"31634","J.Bynes","Josh","Bynes",2017,NA,NA,NA,NA,NA,1,"LB","SF","away","ARI",37.5009259259259
"31658","J.Carter","Jarell","Carter",2018,NA,NA,NA,NA,NA,1,"DB","BAL","away","CAR",29.3308712121212
"31728","J.Carter","Jalil","Carter",2018,NA,NA,NA,NA,NA,1,"DB","NYG","away","CAR",26.6713333333333
"31742","J.Carter","Jarell","Carter",2017,NA,NA,NA,1,NA,NA,"DB","NYJ","away","DEN",32.7615384615385
"31844","J.Casillas","Jonathan","Casillas",2017,NA,NA,NA,2,NA,3,"LB","SF","home","NYG",29.1670995670996
"31851","J.Chick","John","Chick",NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA
"31865","J.Clowney","Jadeveon","Clowney",2017,NA,NA,NA,1,0,2,"DE","JAX","home","HOU",28.7790740740741
"31879","J.Clowney","Jadeveon","Clowney",2017,NA,NA,NA,1,NA,1,"DE","TEN","home","HOU",32.1861471861472
"32054","J.Collins","Jamie","Collins",2017,NA,NA,NA,NA,NA,7,"LB","BAL","home","CLE",31.3229166666667
"32064","J.Collins","Jalen","Collins",2017,1,1,NA,1,NA,NA,"DB","DET","home","CLE",28.8247549019608
"32110","J.Collins","Jamie","Collins",2018,NA,NA,NA,NA,NA,4,"LB","NO","home","CLE",33.4642276422764
"32120","J.Collins","Jalen","Collins",2018,NA,NA,NA,1,NA,2,"DB","NYJ","away","CLE",30.2551587301587
"32166","J.Collins","Jamie","Collins",2018,1,1,NA,1,0,4,"LB","TB","home","CLE",36.6655172413793
"32176","J.Collins","Jalen","Collins",2017,1,NA,NA,NA,1,3,"DB","TEN","away","CLE",33.8625925925926
"32208","J.Davis","James","Davis",2017,NA,NA,NA,NA,NA,9,"LB","ARI","away","DET",33.1023297491039
"32246","J.Davis","Jalen","Davis",2018,NA,NA,NA,1,NA,1,"DB","ARI","away","LA",31.2400537634409
"32257","J.Davis","Jason","Davis",2018,1,NA,NA,1,1,7,"DE","ARI","home","DET",33.9481927710843
"32264","J.Davis","Ja'Gared","Davis",2018,1,NA,NA,1,1,7,"LB","ARI","home","DET",33.9481927710843
"32271","J.Davis","Jamal","Davis",2018,1,NA,NA,1,1,7,"DE","ARI","home","DET",33.9481927710843
"32355","J.Davis","Jim","Davis",2018,NA,NA,NA,NA,1,6,"DE","CAR","away","DET",32.1116438356164
"32376","J.Davis","James","Davis",2017,NA,NA,NA,1,NA,5,"LB","CHI","away","DET",37.0753875968992
"32414","J.Davis","Jalen","Davis",2018,NA,NA,NA,1,NA,1,"DB","CHI","away","DET",31.1195555555556
"32425","J.Davis","Jason","Davis",2017,NA,NA,NA,1,NA,3,"DE","CHI","home","DET",31.2109756097561
"32432","J.Davis","Ja'Gared","Davis",2017,NA,NA,NA,1,NA,3,"LB","CHI","home","DET",31.2109756097561
"32439","J.Davis","Jamal","Davis",2017,NA,NA,NA,1,NA,3,"DE","CHI","home","DET",31.2109756097561
"32523","J.Davis","Jim","Davis",2018,NA,NA,1,2,0,9,"DE","DAL","home","DET",35.3291187739464
